link,status.detailed,status.general,journal,year
http://cottonevolution.info,redirected,good,BMC_Genomics,2007
http://www.iipl.fudan.edu.cn/lschen/kemadom.htm,broken,broken,Nucleic_Acids_Res,2006
http://biogps.org,good,good,Nucleic_Acids_Res,2016
https://github.com/danlbek/Seed,redirected,good,Bioinformatics,2015
http://rth.dk/resources/rnasnp/,redirected,good,Nucleic_Acids_Res,2013
http://ffas.burnham.org/Fragnostic,broken,broken,Nucleic_Acids_Res,2005
http://dna.ccs.tulane.edu,good,good,Bioinformatics,2009
http://funsimmat.bioinf.mpi-inf.mpg.de/,good,good,Nucleic_Acids_Res,2008
http://nactem.ac.uk/MLEE/,good,good,Bioinformatics,2012
http://pepsite2.russelllab.org,good,good,Nucleic_Acids_Res,2012
http://www.chm.tu-dresden.de/pc6/EGNAS,redirected,good,BMC_Bioinformatics,2012
http://www.cuhk.edu.hk/icm/mmdbd.htm,good,good,BMC_Genomics,2010
http://cal.tongji.edu.cn/PlantLoc/,broken,broken,Nucleic_Acids_Res,2013
http://www.intermine.org,redirected,good,Bioinformatics,2012
https://sourceforge.net/projects/sat-assembler/,redirected,good,PLoS_Comput_Biol,2014
http://bio.ifom-ieo-campus.it/fancygene,redirected,good,Bioinformatics,2009
http://bioonto.de/pmwiki.php/Main/PheneOntology,timeout,timeout,Bioinformatics,2010
http://www.fishbrowser.org/software/PEP_scaffolder/,good,good,Bioinformatics,2016
http://sourceforge.net/projects/transcriptomeassembly/files/BinPacker_1.0.tar.gz/download,redirected,good,PLoS_Comput_Biol,2016
http://scratchpads.eu/,good,good,BMC_Bioinformatics,2009
http://biomine.cs.helsinki.fi,timeout,timeout,BMC_Bioinformatics,2012
http://soybeangenome.siu.edu,timeout,timeout,Nucleic_Acids_Res,2006
http://www.ibt.lt/bioinformatics/coma,redirected,good,BMC_Bioinformatics,2010
http://csbl.bmb.uga.edu/uber,redirected,good,Nucleic_Acids_Res,2006
http://www.argumentation.org,redirected,good,Bioinformatics,2008
https://github.com/jts/sga,redirected,good,Bioinformatics,2014
www.bactrap.org,timeout,timeout,Nucleic_Acids_Res,2010
http://podb.nibb.ac.jp/Organellome,redirected,good,Nucleic_Acids_Res,2008
http://servers.binf.ku.dk/pare,redirected,good,Nucleic_Acids_Res,2016
http://gsds.cbi.pku.edu.cn,good,good,Bioinformatics,2015
http://www.grenoble.prabi.fr/trac/ecoPrimers,good,good,Nucleic_Acids_Res,2011
http://esaskar.github.io/CoReCo/,good,good,PLoS_Comput_Biol,2014
http://www.isrec.isb-sib.ch/~vpopovic/research/,timeout,timeout,BMC_Bioinformatics,2009
http://ws.nbcr.net,timeout,timeout,Nucleic_Acids_Res,2010
http://www.ymdb.ca,good,good,Nucleic_Acids_Res,2012
http://www.creativemolecules.com/CM_Software.htm,good,good,BMC_Bioinformatics,2010
http://bar.biocomp.unibo.it/mg,redirected,good,BMC_Bioinformatics,2012
www.targetgenereg.org,timeout,timeout,Nucleic_Acids_Res,2016
https://bitbucket.org/dudleylab/acdc,redirected,good,Bioinformatics,2017
http://www.ark-genomics.org/bioinformatics/virome,good,good,Bioinformatics,2013
http://www.cuilab.cn/sramp/,good,good,Nucleic_Acids_Res,2016
http://drimust.technion.ac.il,good,good,Nucleic_Acids_Res,2013
http://compbio.charite.de/genetik/FragIdent/,broken,broken,BMC_Genomics,2009
http://people.biochem.umass.edu/fournierlab/3dmodmap/,good,good,Nucleic_Acids_Res,2008
http://www.bio.ifi.lmu.de/AutoPSIDB,redirected,good,Nucleic_Acids_Res,2008
http://metafishnet.appspot.com,broken,broken,Genome_Biol,2010
https://github.com/TGAC/NanoOK,redirected,good,Bioinformatics,2016
http://www.imexconsortium.org,good,good,Nucleic_Acids_Res,2012
http://bioinfo.uochb.cas.cz/INTAA/,good,good,Nucleic_Acids_Res,2017
http://flybase.org,good,good,Nucleic_Acids_Res,2012
https://collaborators.oicr.on.ca/vferretti/borozan_csss/csss.html,redirected,good,Bioinformatics,2015
http://prodata.swmed.edu/compass,redirected,good,Nucleic_Acids_Res,2009
http://www.esu.edu/cpsc/che_lab/software/GIDetector/,redirected,good,BMC_Genomics,2010
computationalmethods,timeout,timeout,PLoS_Comput_Biol,2013
http://www.phosida.com,redirected,good,Nucleic_Acids_Res,2011
http://www.nipgr.res.in/plecdom.html,good,good,Nucleic_Acids_Res,2009
http://rna.tbi.univie.ac.at/AREsite,redirected,good,Nucleic_Acids_Res,2016
http://bioinformatics.eas.asu.edu/sprouts.html,timeout,timeout,Nucleic_Acids_Res,2009
http://www.ncbi.nlm.nih.gov/taxonomy,redirected,good,Nucleic_Acids_Res,2012
http://bioserv.rpbs.univ-paris-diderot.fr/services/PEP-FOLD3,redirected,good,Nucleic_Acids_Res,2016
http://rna.informatik.uni-freiburg.de/metaMIR/,redirected,good,Nucleic_Acids_Res,2017
http://itol.embl.de,good,good,Nucleic_Acids_Res,2011
http://3dfun.bioinfo.pl/,good,good,Nucleic_Acids_Res,2008
http://sysbio.kribb.re.kr/AsiDesigner/,timeout,timeout,Nucleic_Acids_Res,2008
http://www.ebi.ac.uk/metagenomics/,redirected,good,Nucleic_Acids_Res,2014
http://www.perkinslab.ca/pubs/ZP2009.html,redirected,good,Bioinformatics,2009
http://web.kuicr.kyoto-u.ac.jp/supp/smizutan/target-effect/,good,good,Bioinformatics,2012
http://www.nic.funet.fi/pub/sci/molbio/peakROTS,redirected,good,Nucleic_Acids_Res,2012
http://www.ncbi.nlm.nih.gov/Structure,redirected,good,Nucleic_Acids_Res,2014
http://www.compbio.dundee.ac.uk/SNAPPI/downloads.jsp,good,good,Nucleic_Acids_Res,2007
http://genome.gsc.riken.jp/osc/english/software/,good,good,Bioinformatics,2009
https://github.com/yaarasegre/EPIQ,redirected,good,Bioinformatics,2014
http://admiral.fmach.it/,good,good,Bioinformatics,2017
http://biogrid.engr.uconn.edu/lasagna_search/,good,good,BMC_Bioinformatics,2013
http://www.ebi.ac.uk/interpro/,broken,broken,Nucleic_Acids_Res,2012
https://github.com/vaquerizaslab/tadtool,redirected,good,Bioinformatics,2016
http://vrac.iastate.edu/~jlv/cytomodeler/,redirected,good,Bioinformatics,2011
http://bioinfo.mc.vanderbilt.edu/ccmGDB,timeout,timeout,Nucleic_Acids_Res,2016
http://csb.cse.yzu.edu.tw/PlantPhos/,good,good,BMC_Bioinformatics,2011
http://compbio.cs.utoronto.ca/varid,good,good,Bioinformatics,2010
http://plasmogem.sanger.ac.uk,good,good,Nucleic_Acids_Res,2015
https://www.helmholtz-muenchen.de/fileadmin/ICB/software/inferenceSnapshot.zip,good,good,Bioinformatics,2015
http://kb.psi-structuralgenomics.org,good,good,Nucleic_Acids_Res,2009
http://61.152.91.49/EpilepsyGene,timeout,timeout,Nucleic_Acids_Res,2015
https://www.ncbi.nlm.nih.gov/genome/annotation_prok/,redirected,good,Nucleic_Acids_Res,2016
https://github.com/slawekj/ennet,redirected,good,BMC_Syst_Biol,2013
http://conco.ebc.ee,good,good,Nucleic_Acids_Res,2012
http://apps.cytoscape.org/apps/noa,good,good,Bioinformatics,2013
http://phop.ugr.es/fenogeno,redirected,good,Nucleic_Acids_Res,2013
http://bionerds.sourceforge.net/networks/,good,good,Bioinformatics,2014
http://compbio.mit.edu/HaploReg,redirected,good,Nucleic_Acids_Res,2012
http://botdb.abcc.ncifcrf.gov,redirected,good,Nucleic_Acids_Res,2006
http://www.malacards.org/,good,good,Nucleic_Acids_Res,2017
http://cbcl.ics.uci.edu/sgd,redirected,good,BMC_Syst_Biol,2010
http://iimcb.genesilico.pl/metadisorder/,good,good,BMC_Bioinformatics,2012
http://meme-suite.org,good,good,Nucleic_Acids_Res,2015
www.rna-society.org/raid/,timeout,timeout,Nucleic_Acids_Res,2017
http://www.dictybase.org,good,good,Nucleic_Acids_Res,2011
http://ncbr.muni.cz/ValidatorDB,redirected,good,Nucleic_Acids_Res,2015
http://annotrack.sanger.ac.uk,redirected,good,BMC_Genomics,2010
http://www.bionlp-st.org,good,good,BMC_Bioinformatics,2012
http://research.microsoft.com/dna,redirected,good,Bioinformatics,2011
http://immunet.cn/mimodb,redirected,good,Nucleic_Acids_Res,2012
http://tintin.sfsu.edu/~whemurad/disulfidebond,redirected,good,BMC_Bioinformatics,2011
http://corg.eb.tuebingen.mpg.de,timeout,timeout,Nucleic_Acids_Res,2007
http://www.allelefrequencies.net,redirected,good,Nucleic_Acids_Res,2011
http://www.kegg.jp/,good,good,Nucleic_Acids_Res,2017
http://www.ebi.ac.uk/ena/,redirected,good,Nucleic_Acids_Res,2013
http://brainarray.mbni.med.umich.edu/gsearcher/,broken,broken,Bioinformatics,2010
http://bioinformatics.charite.de/jail,redirected,good,Nucleic_Acids_Res,2009
https://github.com/mwsill/s4vdpca,redirected,good,Bioinformatics,2015
https://bitbucket.org/youngjh/nsclc_paper,redirected,good,Bioinformatics,2016
http://www.qualimap.org,good,good,Bioinformatics,2016
http://www.openstructure.org,good,good,Bioinformatics,2010
https://www.biopilot.org/docs/Software/RMD.php,good,good,Bioinformatics,2011
http://structure.bioc.cam.ac.uk/mcsm_ab,redirected,good,Nucleic_Acids_Res,2016
http://last.cbrc.jp/,good,good,BMC_Bioinformatics,2010
http://gin.ncibi.org,timeout,timeout,Bioinformatics,2008
http://bagel.molgenrug.nl,good,good,Nucleic_Acids_Res,2013
http://www.biotec.or.th/isl/ChemEx,redirected,good,BMC_Bioinformatics,2012
http://bcb.dei.unipd.it/MolLoc,timeout,timeout,Nucleic_Acids_Res,2009
http://www.cs.cmu.edu/~thlin/tram/,good,good,Bioinformatics,2008
http://genome.ku.dk/resources/war,redirected,good,Nucleic_Acids_Res,2008
http://warta.bio.psu.edu/DED/,timeout,timeout,Nucleic_Acids_Res,2005
http://www.drug2gene.com,timeout,timeout,BMC_Bioinformatics,2014
http://genometrafac.cchmc.org,redirected,good,Nucleic_Acids_Res,2007
https://github.com/uci-cbcl/MixClone,redirected,good,BMC_Genomics,2015
ftp://ftp.sanger.ac.uk/pub/pathogens/pools/,timeout,timeout,Bioinformatics,2009
http://corgen.molgen.mpg.de,good,good,Nucleic_Acids_Res,2006
www.coexpedia.org,timeout,timeout,Nucleic_Acids_Res,2017
www.tractor.lncc.br,good,good,Nucleic_Acids_Res,2007
http://bioinfo.noble.org/gene-atlas/,broken,broken,BMC_Bioinformatics,2009
http://biocluster.di.unito.it/circuits/,good,good,BMC_Bioinformatics,2010
