package.manager,number.citations.per.year,actual.commands.in.manual,executed.commands,undoc.commands,AIT,time,easy.flag,example.provided
Other,0.29,7,2,0.7,Fail,5,Not.installed,Y
Github,0.67,5,3,0.4,Fail,30,Not.installed,Y
BitBucket,0.71,7,4,0.4,Fail,30,Complex,Y
Other,1.00,2,2,0.0,Pass,15,Easy,Y
Bioconductor,1.00,1,1,0.0,Pass,5,Easy,Y
Other,1.33,2,2,0.0,Pass,5,Easy,Y
Github,1.33,3,3,0.0,Pass,5,Easy,Y
Other,1.33,1,1,0.0,Pass,5,Easy,N
Other,1.38,N/A,N/A,N/A,N/A,5,Not.installed,N
Github,1.50,1,1,0.0,Pass,15,Easy,N
SourceForge,1.60,5,N/A,N/A,N/A,30,Complex,N
Github,1.67,1,1,0.0,Pass,5,Easy,Y
Other,1.67,3,3,0.0,Pass,5,Easy,N
Other,1.71,4,4,0.0,Pass,30,Not.installed,Y
SourceForge,1.83,1,1,0.0,Pass,15,Not.installed,Y
Other,2.00,2,2,0.0,Pass,5,Easy,N
Github,2.25,12,12,0.0,Pass,120,Complex,Y
Other,2.43,2,N/A,N/A,N/A,5,Easy,N
Other,2.50,7,7,0.0,Pass,15,Not.installed,Y
Other,2.60,11,4,0.6,Fail,15,Not.installed,Y
Other,2.67,3,3,0.0,Pass,15,Easy,Y
Github,2.75,7,7,0.0,Pass,15,Easy,Y
SourceForge,3.00,4,4,0.0,Fail,120,Not.installed,Y
Other,3.00,10,10,0.0,Pass,30,Not.installed,Y
Other,3.00,6,6,0.0,Pass,15,Easy,Y
Github,3.00,7,7,0.0,Pass,15,Easy,N
Github,3.00,9,9,0.0,Pass,5,Easy,Y
Other,3.20,5,3,0.4,Fail,30,Complex,Y
Other,3.25,5,4,0.2,Fail,15,Easy,Y
Github,3.25,1,1,0.0,Pass,5,Easy,Y
Other,3.33,N/A,N/A,N/A,Fail,120,Not.installed,Y
Github,3.33,6,6,0.0,Fail,120,Not.installed,Y
Github,3.75,3,2,0.3,Fail,5,Easy,N
Other,4.33,4,N/A,N/A,N/A,120,Not.installed,N
Github,4.50,N/A,6,N/A,Fail,120,Not.installed,N
Other,4.67,1,1,0.0,Pass,5,Easy,N
Other,5.11,N/A,N/A,N/A,Fail,120,Not.installed,N
Bioconda,5.14,1,1,0.0,Pass,5,Easy,Y
Github,5.75,4,3,0.3,Fail,120,Complex,N
Other,6.83,22,4,0.8,Fail,30,Complex,Y
Other,7.00,N/A,N/A,N/A,Fail,120,Not.installed,N
Other,7.17,2,1,0.5,Fail,15,Easy,N
Other,7.25,N/A,3,N/A,Fail,120,Not.installed,N
5,8.00,10,11,12.0,13,14,15,16
Other,8.00,4,3,0.3,Fail,15,Easy,Y
SourceForge,8.00,1,1,0.0,Pass,5,Easy,N
Other,8.90,14,14,0.0,Fail,120,Not.installed,Y
Other,9.56,N/A,N/A,N/A,Fail,120,Not.installed,Y
Bioconda,9.71,1,1,0.0,Pass,15,Easy,N
Other,9.80,N/A,1,N/A,Fail,120,Not.installed,Y
Other,10.43,N/A,N/A,N/A,N/A,120,Complex,Y
SourceForge,10.56,N/A,N/A,N/A,N/A,5,Easy,N
Other,12.17,1,1,0.0,Pass,5,Easy,Y
SourceForge,12.25,N/A,N/A,N/A,N/A,5,Easy,N
Other,12.75,4,4,0.0,Pass,15,Easy,Y
SourceForge,13.29,1,1,0.0,Pass,120,Not.installed,N
Other,13.33,5,5,0.0,Pass,15,Easy,Y
Github,13.75,5,N/A,N/A,N/A,30,Complex,N
Bioconda,13.83,1,1,0.0,Pass,5,Easy,Y
Other,14.70,13,13,0.0,Pass,15,Easy,Y
Other,15.10,4,2,0.5,Fail,120,Complex,Y
Other,15.30,1,1,0.0,Pass,5,Easy,Y
Other,15.63,52,N/A,N/A,N/A,120,Complex,N
SourceForge,16.00,2,N/A,N/A,N/A,5,Easy,N
Github,16.25,8,6,0.3,Fail,60,Complex,Y
Other,16.29,1,1,0.0,Pass,5,Easy,Y
Github,16.89,10,3,0.7,Fail,120,Not.installed,Y
SourceForge,22.71,190,7,1.0,Fail,120,Not.installed,Y
Other,23.60,N/A,N/A,N/A,N/A,30,Not.installed,Y
Other,24.00,4,N/A,N/A,Fail,120,Not.installed,N
