year,status,prc
2005,0.broken,0.11991434689507495
2005,1.timeout,0.29978586723768735
2005,3.redirected,0.32762312633832974
2005,2.good,0.2526766595289079
2006,0.broken,0.11600928074245939
2006,1.timeout,0.2853828306264501
2006,3.redirected,0.30162412993039445
2006,2.good,0.29698375870069604
2007,0.broken,0.10576923076923077
2007,1.timeout,0.2764423076923077
2007,3.redirected,0.33653846153846156
2007,2.good,0.28125
2008,0.broken,0.10077519379844961
2008,1.timeout,0.2189922480620155
2008,3.redirected,0.3507751937984496
2008,2.good,0.32945736434108536
2009,0.broken,0.09064748201438849
2009,1.timeout,0.2014388489208633
2009,3.redirected,0.3496402877697842
2009,2.good,0.358273381294964
2010,0.broken,0.07091172214182344
2010,1.timeout,0.17800289435600578
2010,3.redirected,0.3849493487698987
2010,2.good,0.3661360347322721
2011,0.broken,0.09032258064516129
2011,1.timeout,0.15161290322580645
2011,3.redirected,0.34838709677419355
2011,2.good,0.4096774193548387
2012,0.broken,0.06332842415316642
2012,1.timeout,0.10751104565537556
2012,3.redirected,0.38880706921944036
2012,2.good,0.4403534609720176
2013,0.broken,0.0644122383252818
2013,1.timeout,0.0998389694041868
2013,3.redirected,0.4219001610305958
2013,2.good,0.41384863123993565
2014,0.broken,0.04206500956022945
2014,1.timeout,0.05353728489483748
2014,3.redirected,0.45124282982791586
2014,2.good,0.4531548757170173
2015,0.broken,0.03958333333333333
2015,1.timeout,0.08958333333333333
2015,3.redirected,0.45416666666666666
2015,2.good,0.4166666666666667
2016,0.broken,0.022770398481973434
2016,1.timeout,0.1062618595825427
2016,3.redirected,0.5161290322580645
2016,2.good,0.35483870967741926
2017,0.broken,0.005813953488372093
2017,1.timeout,0.09302325581395349
2017,3.redirected,0.5
2017,2.good,0.40116279069767447
