link,status.detailed,status.general,journal,year
http://sgc.ki.se/structures.html,broken,broken,Nucleic_Acids_Res,2010
http://www.caida.org/tools/visualization/walrus/,good,good,Bioinformatics,2011
http://www.ensembl.org/,good,good,PLoS_Comput_Biol,2010
Figure1A,broken,broken,Nucleic_Acids_Res,2013
http://www.chem.agilent.com,good,good,Nucleic_Acids_Res,2015
http://hgdownload.cse.ucsc.edu/goldenPath/bosTau6/bigZips/bosTau6.fa.gz,good,good,BMC_Genomics,2014
http://sourceforge.net/projects/refinehmm,good,good,BMC_Bioinformatics,2010
http://pdb2cd.cryst.bbk.ac.uk,good,good,Bioinformatics,2017
ftp://ftpmips.helmholtz-muenchen.de/plants/barley/public_data/,broken,broken,Nucleic_Acids_Res,2016
http://www.criver.com,good,good,PLoS_Comput_Biol,2007
www.dnaseq.co.uk,broken,broken,Nucleic_Acids_Res,2015
http://www.kreatech.com/products/repeat-freetm-poseidontm-fish-probes.html,good,good,Nucleic_Acids_Res,2012
http://www.synchrotron.org.au/,good,good,Nucleic_Acids_Res,2015
http://cran.r-project.org/doc/packages/exactRankTests.pdf,good,good,Nucleic_Acids_Res,2005
www.genomatix.de,broken,broken,Nucleic_Acids_Res,2011
http://umr5558-bibiserv.univ-lyon1.fr/mubii/mubii-select.cgi,good,good,BMC_Bioinformatics,2014
http://gasstationwithoutpumps.wordpress.com/2011/01/08/advanced-placement-bio-changes-announced/,good,good,PLoS_Comput_Biol,2011
http://staff.biosustain.dtu.dk/laeb/crispy/,good,good,Nucleic_Acids_Res,2015
http://darwin.informatics.indiana.edu/str/,good,good,BMC_Bioinformatics,2017
https://trace.ddbj.nig.ac.jp/DRASearch/study?acc=SRP014719,good,good,BMC_Genomics,2015
http://www.transcriptome.ens.fr/micovito/,good,good,BMC_Bioinformatics,2004
DQ143901,broken,broken,Nucleic_Acids_Res,2005
http://pre.ensembl.org/Sus_scrofa/index.html,good,good,Nucleic_Acids_Res,2008
http://www.ddbj.nig.ac.jp/FT/full_index.html,good,good,Nucleic_Acids_Res,2010
https://www.npmjs.com/package/clanviewer,good,good,Nucleic_Acids_Res,2016
http://www1.i2r.a-star.edu.sg/~xlli/coach.zip,broken,broken,BMC_Bioinformatics,2009
http://www.Joinmap.nl,good,good,BMC_Genomics,2014
http://realtimegenomics.com,good,good,BMC_Genomics,2015
http://www.penna.cn/cp-rf,good,good,BMC_Bioinformatics,2009
ftp://ftp.ncbi.nih.gov/blast/db,good,good,BMC_Genomics,2012
